name,cat,lat,lon,money,Yi,proc
Instytut Chemii Fizycznej Polskiej Akademii Nauk,III – Exact Sciences and Geological Sciences,52.229110795883905,20.96518435628852,46297.6,1.75,0.0
Instytut Fizyki Jądrowej im. Henryka Niewodniczańskiego Polskiej Akademii Nauk,III – Exact Sciences and Geological Sciences,50.0882466,19.8891254,81003.3,1.75,5.12
Instytut Nauk Geologicznych Polskiej Akademii Nauk,III – Exact Sciences and Geological Sciences,52.2283292062838,20.993697966598802,14217.1,1.25,0.0
Instytut Fizyki Molekularnej Polskiej Akademii Nauk,III – Exact Sciences and Geological Sciences,52.395251,16.8461299,14697.5,1.25,10.0
Centrum Astronomiczne im. Mikołaja Kopernika Polskiej Akademii Nauk,III – Exact Sciences and Geological Sciences,52.214522,21.0675686,13633.6,1.75,10.0
Centrum Fizyki Teoretycznej Polskiej Akademii Nauk,III – Exact Sciences and Geological Sciences,52.1769889,21.0094786,6614.8,1.25,5.66
Centrum Materiałów Polimerowych i Węglowych Polskiej Akademii Nauk,III – Exact Sciences and Geological Sciences,50.31567870453388,18.771067086620697,9897.3,1.0,0.0
Centrum Badań Kosmicznych Polskiej Akademii Nauk,III – Exact Sciences and Geological Sciences,52.21427193875341,21.067836653160246,16176.3,1.08333333333333,4.47
Instytut Inżynierii Chemicznej Polskiej Akademii Nauk,IV – Technical Sciences,50.2912215,18.6368039,4960.9,1.0,0.0
Instytut Podstawowych Problemów Techniki Polskiej Akademii Nauk,IV – Technical Sciences,52.206617,20.9814486,45623.3,1.3125,10.0
Instytut Budownictwa Wodnego Polskiej Akademii Nauk,IV – Technical Sciences,54.4081345,18.5444203,5655.8,0.75,0.0
Instytut Informatyki Teoretycznej i Stosowanej Polskiej Akademii Nauk,IV – Technical Sciences,52.2258111,20.9499124,6610.8,1.25,0.0
Instytut Podstaw Inżynierii Środowiska Polskiej Akademii Nauk,IV – Technical Sciences,50.3158361,18.7713074,6945.8,1.0,0.0
Instytut Geografii i Przestrzennego Zagospodarowania im. Stanisława Leszczyckiego Polskiej Akademii Nauk,IV – Technical Sciences,52.22846806778745,20.993856250789147,10422.1,1.5,10.0
Instytut Podstaw Informatyki Polskiej Akademii Nauk,IV – Technical Sciences,52.22600803704987,20.949759579487786,9483.8,1.25,0.0
Instytut Mechaniki Górotworu Polskiej Akademii Nauk,IV – Technical Sciences,50.0672771,19.9084307,9890.0,1.25,0.0
Instytut Metalurgii i Inżynierii Materiałowej im. Aleksandra Krupkowskiego Polskiej Akademii Nauk,IV – Technical Sciences,50.067051,19.9096168,10804.0,1.25,0.86
Instytut Gospodarki Surowcami Mineralnymi i Energią Polskiej Akademii Nauk,IV – Technical Sciences,50.0834487,19.926927,12587.7,1.25,10.0
Instytut Biocybernetyki i Inżynierii Biomedycznej im. Macieja Nałęcza Polskiej Akademii Nauk,IV – Technical Sciences,52.2061964,20.9785115,11729.5,1.0,0.0
Instytut Badań Systemowych Polskiej Akademii Nauk,IV – Technical Sciences,52.2458782,20.9402938,12269.5,1.125,0.0
Instytut Maszyn Przepływowych im. Roberta Szewalskiego Polskiej Akademii Nauk,IV – Technical Sciences,54.3727259,18.6151494,23900.0,1.75,10.0
Instytut Biologii Medycznej Polskiej Akademii Nauk,V – Medical Sciences,52.2138866,20.9837513,7125.6,1.25,0.0
Instytut Farmakologii im. Jerzego Maja Polskiej Akademii Nauk,V – Medical Sciences,50.0928921,19.8844473,26455.4,1.5,10.0
Instytut Immunologii i Terapii Doświadczalnej im. Ludwika Hirszfelda Polskiej Akademii Nauk,V – Medical Sciences,51.0763938,17.0227629,32446.7,1.5,0.0
Instytut Medycyny Doświadczalnej i Klinicznej im. Mirosława Mossakowskiego Polskiej Akademii Nauk,V – Medical Sciences,52.2070813,20.9821849,39346.5,1.75,10.0
Instytut Genetyki Człowieka Polskiej Akademii Nauk,V – Medical Sciences,52.4458799,16.905135,12021.8,1.25,0.0
