cat,percent,increase
I - Nauk Humanistycznych i Społecznych,1.98,29
II - Nauk Biologicznych i Rolniczych,7.17,68
III - Nauk Ścisłych i Nauk o Ziemi,4.40,59
IV - Nauk Technicznych,5.24,38
V - Nauk Medycznych,5.37,40
